incident_id,category,service,severity,alert,logs,metrics,traces,screenshot_summary,expected_root_cause,expected_action
CLD-001,Cloud Infrastructure,kubernetes-pod,P1,Kubernetes Pod CrashLoopBackOff,"Pod restarting repeatedly CrashLoopBackOff OOMKilled memory limit exceeded","memory=96 cpu=70 restart_count=8","container restart loop after memory spike","Grafana shows memory crossing pod limit","Pod memory exhaustion","increase memory limit"
CLD-002,Cloud Infrastructure,eks-node,P1,EKS Node Memory Exhaustion,"Node under memory pressure pod eviction observed","memory=98 cpu=75 evictions=12","node pressure event before pod eviction","Node dashboard shows memory saturation","EKS node memory exhaustion","scale node group"
CLD-003,Cloud Infrastructure,rds-db,P1,AWS RDS Connection Timeout,"JDBC connection timeout database pool exhausted","db_connections=99 error_rate=18 latency_p95=6000","db connection wait high","RDS dashboard shows connection spike","Database connection pool exhaustion","increase db pool"
CLD-004,Cloud Infrastructure,kafka-consumer,P2,Kafka Consumer Lag Spike,"Kafka consumer lag increasing processing slow","consumer_lag=25000 cpu=45 error_rate=5","consumer group lag rising","Kafka dashboard shows lag spike","Kafka consumer processing bottleneck","scale consumer"
PC-001,PC Laptop,user-laptop,P3,Laptop Slow Performance,"User reports laptop slow disk almost full high cpu","cpu=92 memory=84 disk_free=3","endpoint telemetry shows resource saturation","Task manager shows CPU and disk high","Endpoint resource saturation","cleanup disk"
PC-002,PC Laptop,vpn-client,P2,VPN Connection Failure,"VPN tunnel failed authentication error certificate expired","error_rate=12 auth_failures=5","vpn handshake failure","VPN client screenshot shows certificate error","VPN authentication or certificate failure","renew certificate"
PC-003,PC Laptop,outlook-client,P3,Outlook Not Opening,"Outlook fails to open profile corrupted pst error","cpu=35 memory=55","application crash on profile load","Outlook error window indicates profile issue","Corrupted Outlook profile","recreate outlook profile"
PC-004,PC Laptop,windows-os,P1,Blue Screen Error,"Windows blue screen driver failure kernel crash","restart_count=3 error_rate=9","driver fault before reboot","Blue screen shows driver error","Driver or kernel failure","update rollback driver"
DB-001,Database,database,P1,Connection Pool Exhausted,"DB connection pool exhausted JDBC timeout active sessions maxed","db_connections=100 latency_p95=5500","connection wait time high","Database dashboard shows max sessions","Database connection pool exhaustion","increase db pool"
DB-002,Database,database,P2,Deadlock Detected,"Deadlock detected between transactions lock wait timeout","deadlocks=7 error_rate=8","transaction lock chain detected","DB monitor shows blocking sessions","Database deadlock","kill blocking session"
DB-003,Database,database,P2,Query Timeout,"Long running query timeout missing index suspected","latency_p95=7000 slow_queries=20","slow query spans dominate trace","Query dashboard shows p95 latency spike","Slow query or missing index","optimize query"
DB-004,Database,database,P2,Replication Lag,"Read replica lag increasing replication delay observed","replication_lag=180 cpu=60","replica apply delay trace","Replication dashboard shows lag","Database replication lag","restart replication"
APP-001,Application,checkout-service,P1,HTTP 500 Errors,"HTTP 500 NullPointerException after deployment","error_rate=25 latency_p95=3500","exception after new release","APM dashboard shows errors after deploy","Application exception after deployment","rollback deployment"
APP-002,Application,checkout-service,P1,Checkout Failure,"Checkout API failing payment validation error","error_rate=20 failed_orders=150","checkout trace fails at validation","Checkout dashboard shows order failures","Checkout validation failure","fix validation service"
APP-003,Application,auth-service,P2,Authentication Failure,"Login failed token validation error jwt expired","error_rate=18 auth_failures=100","auth trace fails token verification","Auth dashboard shows login failures","Authentication token validation failure","rotate token keys"
APP-004,Application,payment-service,P1,Payment Gateway Timeout,"Payment gateway timeout downstream provider slow","latency_p95=8000 error_rate=22","payment trace stuck at gateway call","Payment dashboard shows timeout spike","Payment gateway timeout","failover payment provider"
PROD-001,Production Platform,airflow,P1,Airflow DAG Failure,"DAG task failed dependency unavailable upstream task error","dag_failures=8 error_rate=12","task dependency failed before retry","Airflow UI shows failed dependency","Airflow task dependency failure","rerun dependency task"
PROD-002,Production Platform,snowflake,P1,Snowflake Warehouse Down,"Snowflake warehouse suspended query execution failed","warehouse_status=down error_rate=10","query trace failed at warehouse allocation","Snowflake console shows suspended warehouse","Snowflake warehouse unavailable","resume warehouse"
PROD-003,Production Platform,dependency-service,P1,Service Dependency Failure,"Downstream dependency returned 503 service unavailable","error_rate=30 latency_p95=6500","trace fails in downstream dependency","Service map shows dependency red","Downstream dependency failure","restart dependency service"
PROD-004,Production Platform,network,P2,Network Latency Spike,"Connection reset timeout packet loss observed","latency_p95=9000 packet_loss=12","trace shows network delay","Network dashboard shows packet loss","Network latency spike","route traffic alternate path"
