incident_id,dataset,service,severity,alert,logs,metrics,root_cause,resolution,mttr_minutes_baseline,source
SYN-INC-0001,synthetic,auth-service,P2,High latency detected,auth-service: timeout while calling downstream service,"cpu=92%,memory=78%",Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",72,synthetic
SYN-INC-0002,synthetic,cart-service,P3,Pod restart loop,cart-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,consumer_lag=18000,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",58,synthetic
SYN-INC-0003,synthetic,inventory-service,P1,Pod restart loop,inventory-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,"cpu=92%,memory=78%",Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",67,synthetic
SYN-INC-0004,synthetic,inventory-service,P2,Queue backlog increasing,inventory-service: Kafka consumer lag increasing; messages pending,"cpu=92%,memory=78%",Consumer processing bottleneck,Scale consumers and check downstream API latency.,86,synthetic
SYN-INC-0005,synthetic,payment-service,P2,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,error_rate=12%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",73,synthetic
SYN-INC-0006,synthetic,payment-service,P2,High latency detected,payment-service: timeout while calling downstream service,error_rate=12%,Downstream dependency latency spike,"Check downstream latency, scale service, restart unhealthy pods.",62,synthetic
SYN-INC-0007,synthetic,order-service,P1,Pod restart loop,order-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,db_connections=98%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",71,synthetic
SYN-INC-0008,synthetic,order-service,P3,Database connection failure,order-service: connection pool exhausted; JDBC timeout,db_connections=98%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",80,synthetic
SYN-INC-0009,synthetic,payment-service,P1,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,consumer_lag=18000,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",48,synthetic
SYN-INC-0010,synthetic,payment-service,P2,Pod restart loop,payment-service: CrashLoopBackOff; OOMKilled; memory limit exceeded,db_connections=98%,Pod memory exhaustion,"Increase memory limit, capture heap dump, rollback if required.",54,synthetic
SYN-INC-0011,synthetic,auth-service,P3,Database connection failure,auth-service: connection pool exhausted; JDBC timeout,error_rate=12%,Database connection pool exhaustion,"Increase connection pool, kill stale sessions, check slow queries.",53,synthetic
